model,target,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
gpt2-small,resid_post,0,0.0,0.9209896922111511,0.9805974364280701,0.025974160060286522,0.5836873054504395,0.8190293312072754,0.9004918336868286,0.8108855485916138,0.008108855225145817,0.0,0.0181884765625,0.02241007424890995,0.9594014286994934
gpt2-small,resid_post,1,0.09090909090909091,0.9245499968528748,0.9779186844825745,0.029083970934152603,0.6679701805114746,0.8320924639701843,1.0972929000854492,1.2040516138076782,0.012040515430271626,0.0,0.01804606057703495,0.014821370132267475,0.967132568359375
gpt2-small,resid_post,2,0.18181818181818182,0.9377394318580627,0.9813662171363831,0.043921492993831635,0.7508639097213745,0.8772125840187073,1.2793517112731934,1.6367409229278564,0.016367409378290176,0.0,0.011800129897892475,0.013987223617732525,0.974212646484375
gpt2-small,resid_post,3,0.2727272727272727,0.9468200206756592,0.9840893745422363,0.08304434269666672,0.802233099937439,0.8944733142852783,1.4920556545257568,2.2262301445007324,0.022262301295995712,0.0,0.010660807602107525,0.010660807602107525,0.9786784052848816
gpt2-small,resid_post,4,0.36363636363636365,0.9486244320869446,0.9848580956459045,0.16551147401332855,0.8083754181861877,0.8966021537780762,1.6825506687164307,2.830976724624634,0.028309766203165054,0.0,0.009480793960392475,0.009857177734375,0.9806620478630066
gpt2-small,resid_post,5,0.45454545454545453,0.9505547881126404,0.986397385597229,0.17786067724227905,0.8099058270454407,0.9055470824241638,1.9071741104125977,3.6373131275177,0.03637313097715378,1.0172526344831567e-05,0.00909423828125,0.0111083984375,0.9797871708869934
gpt2-small,resid_post,6,0.5454545454545454,0.9479382634162903,0.9851167798042297,0.17849932610988617,0.8025583624839783,0.8947389125823975,2.1718227863311768,4.7168145179748535,0.04716814309358597,1.0172526344831567e-05,0.009124755859375,0.011952717788517475,0.978912353515625
gpt2-small,resid_post,7,0.6363636363636364,0.9449911713600159,0.9836137890815735,0.10361360013484955,0.7874301671981812,0.8822755813598633,2.5396714210510254,6.449931621551514,0.06449931114912033,1.0172526344831567e-05,0.009419758804142475,0.011067708022892475,0.9795023798942566
gpt2-small,resid_post,8,0.7272727272727273,0.9336968064308167,0.9756296873092651,0.0703219398856163,0.7480462193489075,0.8482124209403992,3.007742404937744,9.046514511108398,0.09046514332294464,1.0172526344831567e-05,0.010447184555232525,0.010548909194767475,0.9789937138557434
gpt2-small,resid_post,9,0.8181818181818182,0.9277603626251221,0.9723914861679077,0.07316446304321289,0.7162838578224182,0.8344859480857849,3.675945997238159,13.512578964233398,0.1351257860660553,1.0172526344831567e-05,0.010447184555232525,0.013468424789607525,0.97607421875
