model,target,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
gpt2-small,resid_delta,0,0.0,0.9325154423713684,0.9818350672721863,0.0285593681037426,0.7280046939849854,0.8594273924827576,0.8753398060798645,0.7662197947502136,0.007662197574973106,0.0,0.0177001953125,0.012308756820857525,0.9699910283088684
gpt2-small,resid_delta,1,0.09090909090909091,0.9227365851402283,0.9662500023841858,0.36230483651161194,0.7015334367752075,0.8043339252471924,0.4537614583969116,0.2058994621038437,0.0020589944906532764,0.00341796875,0.00067138671875,0.01639811135828495,0.9795125126838684
gpt2-small,resid_delta,2,0.18181818181818182,0.9524731636047363,0.9827992916107178,0.46204739809036255,0.8114957809448242,0.8897011876106262,0.5235011577606201,0.2740534543991089,0.0027405344881117344,1.0172526344831567e-05,0.000518798828125,0.011393229477107525,0.9880778193473816
gpt2-small,resid_delta,3,0.2727272727272727,0.9651713371276855,0.9909351468086243,0.4641328454017639,0.8774875402450562,0.9309535026550293,0.5743646025657654,0.32989466190338135,0.0032989466562867165,0.0034993488807231188,0.0048319497145712376,0.004364013671875,0.9873046875
gpt2-small,resid_delta,4,0.36363636363636365,0.965846836566925,0.991542637348175,0.5371523499488831,0.8653233647346497,0.9283849000930786,0.5921903252601624,0.3506893813610077,0.0035068937577307224,0.003448486328125,0.0044453940354287624,0.0020243327599018812,0.990081787109375
gpt2-small,resid_delta,5,0.45454545454545453,0.9704630970954895,0.9925325512886047,0.5505168437957764,0.9035909175872803,0.9441841840744019,0.689081072807312,0.4748327136039734,0.004748327191919088,0.0040690102614462376,0.004852294921875,0.001922607421875,0.9891560673713684
gpt2-small,resid_delta,6,0.5454545454545454,0.9631602168083191,0.988770067691803,0.38874736428260803,0.8706957101821899,0.9267798066139221,0.7806275486946106,0.6093794107437134,0.006093794014304876,0.006500244140625,0.003997802734375,0.005340576171875,0.984161376953125
gpt2-small,resid_delta,7,0.6363636363636364,0.9646371006965637,0.9899261593818665,0.30429837107658386,0.8823432326316833,0.93369060754776,0.9538156986236572,0.9097643494606018,0.009097643196582794,0.0068257651291787624,0.0037027995567768812,0.0052591958083212376,0.9842122197151184
gpt2-small,resid_delta,8,0.7272727272727273,0.9354639053344727,0.9739007949829102,0.26528307795524597,0.7687833905220032,0.8397952914237976,1.1706795692443848,1.3704907894134521,0.013704907149076462,0.007863362319767475,0.0026957194786518812,0.0066630044020712376,0.9827778935432434
gpt2-small,resid_delta,9,0.8181818181818182,0.9544196128845215,0.9849124550819397,0.2790544629096985,0.8427525162696838,0.9023539423942566,1.4865139722824097,2.209723711013794,0.022097237408161163,0.0070393881760537624,0.0036824543494731188,0.008829752914607525,0.9804484248161316
gpt2-small,resid_delta,10,0.9090909090909091,0.9541767239570618,0.9848004579544067,0.14282304048538208,0.8508942723274231,0.907879650592804,1.887649655342102,3.5632212162017822,0.035632211714982986,0.0051472983323037624,0.0067036948166787624,0.00799560546875,0.9801533818244934
