model,target,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
gpt2-small,attn_out,0,0.0,0.8621497750282288,0.9324961304664612,0.024114610627293587,0.48190927505493164,0.6604338884353638,0.0511469841003418,0.0026160140987485647,2.6160139896092005e-05,0.0,0.02727254293859005,0.02576700784265995,0.94696044921875
gpt2-small,attn_out,1,0.09090909090909091,0.8596687912940979,0.920761227607727,0.27437877655029297,0.5397825837135315,0.6391686797142029,0.28997042775154114,0.08408284187316895,0.0008408284047618508,0.0056966147385537624,0.0029195148963481188,0.035369873046875,0.9560139775276184
gpt2-small,attn_out,2,0.18181818181818182,0.9197861552238464,0.9639833569526672,0.2613513469696045,0.7074472308158875,0.8017311692237854,0.305326908826828,0.09322452545166016,0.0009322452242486179,0.0005289713735692203,0.0034281413536518812,0.01898193359375,0.9770609736442566
gpt2-small,attn_out,3,0.2727272727272727,0.9410275816917419,0.9784335494041443,0.1398814469575882,0.8100669980049133,0.8726884722709656,0.31774598360061646,0.10096250474452972,0.0010096250334754586,0.003814697265625,0.008341471664607525,0.008514404296875,0.9793294072151184
gpt2-small,attn_out,4,0.36363636363636365,0.943864643573761,0.9797651171684265,0.2643442153930664,0.7924372553825378,0.8697797656059265,0.3400818407535553,0.11565566807985306,0.0011565566528588533,0.0048014321364462376,0.0062764487229287624,0.00665283203125,0.982269287109375
gpt2-small,attn_out,5,0.45454545454545453,0.9539880156517029,0.9850543141365051,0.24190250039100647,0.8455998301506042,0.9084492921829224,0.40919700264930725,0.167442187666893,0.0016744218301028013,0.004425048828125,0.0065205893479287624,0.0054423012770712376,0.983612060546875
gpt2-small,attn_out,6,0.5454545454545454,0.9392825961112976,0.9763860702514648,0.24150550365447998,0.7842079997062683,0.8632358312606812,0.4423169195652008,0.19564424455165863,0.0019564423710107803,0.0046488442458212376,0.00616455078125,0.008168538101017475,0.98101806640625
gpt2-small,attn_out,7,0.6363636363636364,0.9376194477081299,0.9756680727005005,0.20887240767478943,0.7935509085655212,0.8643737435340881,0.5294883847236633,0.2803579568862915,0.0028035794384777546,0.0047607421875,0.0067647299729287624,0.010640461929142475,0.9778340458869934
gpt2-small,attn_out,8,0.7272727272727273,0.8837715983390808,0.9378954172134399,0.23568524420261383,0.6104178428649902,0.7048951983451843,0.6087005734443665,0.3705163896083832,0.0037051637191325426,0.0050252280198037624,0.0051981606520712376,0.02020263671875,0.969573974609375
gpt2-small,attn_out,9,0.8181818181818182,0.9218476414680481,0.9681567549705505,0.1964758187532425,0.7204039692878723,0.8037143349647522,0.7845494747161865,0.6155178546905518,0.006155178416520357,0.0050557455979287624,0.0056864419020712376,0.014322916977107525,0.9749348759651184
