model,target,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
pythia-160m,mlp_out,6,0.5454545454545454,0.8614546656608582,0.9264104962348938,0.3036609888076782,0.5412622094154358,0.6260501146316528,0.261130690574646,0.06818923354148865,0.0006818923284299672,0.00016276042151730508,0.00677490234375,0.03116861917078495,0.9618937373161316
pythia-160m,mlp_out,7,0.6363636363636364,0.849677562713623,0.9116092920303345,0.2725525498390198,0.48474442958831787,0.6018317937850952,0.30293089151382446,0.09176713228225708,0.0009176713065244257,0.00023396809410769492,0.006988525390625,0.05023193359375,0.9425455927848816
pythia-160m,mlp_out,8,0.7272727272727273,0.8329879641532898,0.8964780569076538,0.26987192034721375,0.46925264596939087,0.5693913698196411,0.3635547161102295,0.13217203319072723,0.001321720308624208,0.00026448568678461015,0.006591796875,0.0565897636115551,0.936553955078125
pythia-160m,mlp_out,9,0.8181818181818182,0.8103474974632263,0.8827481269836426,0.20439952611923218,0.38958802819252014,0.4972659647464752,0.3765512704849243,0.14179085195064545,0.0014179084682837129,0.000244140625,0.006134033203125,0.095367431640625,0.89825439453125
pythia-160m,mlp_out,10,0.9090909090909091,0.7675413489341736,0.827517032623291,0.16078266501426697,0.3194943964481354,0.4300667345523834,0.4139968156814575,0.17139336466789246,0.0017139336559921503,1.0172526344831567e-05,0.0063985190354287624,0.1315816193819046,0.8620097041130066
pythia-160m,mlp_out,11,1.0,0.10839259624481201,0.09021904319524765,0.058117739856243134,0.06846404820680618,0.0726948007941246,3.4741787910461426,12.069918632507324,0.12069918215274811,0.00022379557776730508,0.6962077021598816,0.2929178774356842,0.010650634765625
pythia-410m,mlp_out,0,0.0,0.9763327836990356,0.9922120571136475,0.6930921077728271,0.9237685203552246,0.9455858469009399,0.29372692108154297,0.08627549558877945,0.0008627549395896494,0.0,0.0,0.0039215087890625,0.9960784912109375
pythia-410m,mlp_out,1,0.043478260869565216,0.8806077241897583,0.9321488738059998,0.25525331497192383,0.5926244854927063,0.6976310610771179,0.1208001896739006,0.014592684805393219,0.00014592683874070644,0.0,0.00095367431640625,0.027496337890625,0.9715499877929688
pythia-410m,mlp_out,2,0.08695652173913043,0.9365548491477966,0.9710058569908142,0.5905085206031799,0.7618005275726318,0.8344288468360901,0.18464067578315735,0.03409218043088913,0.0003409218043088913,0.0,2.288818359375e-05,0.00753021240234375,0.9924468994140625
pythia-410m,mlp_out,3,0.13043478260869565,0.9434309601783752,0.9760386943817139,0.36806780099868774,0.8041669726371765,0.8604657053947449,0.2036108821630478,0.041457388550043106,0.00041457387851551175,0.0,0.00051116943359375,0.01206207275390625,0.9874267578125
pythia-410m,mlp_out,4,0.17391304347826086,0.9367566108703613,0.9701617956161499,0.562930703163147,0.775966227054596,0.8442296385765076,0.23493245244026184,0.05519326031208038,0.0005519326077774167,0.0,0.00054931640625,0.00681304931640625,0.9926376342773438
pythia-410m,mlp_out,5,0.21739130434782608,0.9253628849983215,0.9639803171157837,0.29254117608070374,0.7469138503074646,0.8230933547019958,0.26500803232192993,0.07022925466299057,0.0007022925419732928,0.0,0.0050506591796875,0.0107574462890625,0.98419189453125
pythia-410m,mlp_out,6,0.2608695652173913,0.88416588306427,0.9386367201805115,0.2617241442203522,0.6196960210800171,0.6951780319213867,0.24188467860221863,0.05850819870829582,0.0005850819870829582,0.0001220703125,0.0075836181640625,0.01689910888671875,0.9753952026367188
pythia-410m,mlp_out,7,0.30434782608695654,0.8939341306686401,0.9486794471740723,0.2679744064807892,0.6226698160171509,0.7273697257041931,0.23118124902248383,0.053444765508174896,0.0005344476667232811,0.00031280517578125,0.00748443603515625,0.015380859375,0.9768218994140625
pythia-410m,mlp_out,8,0.34782608695652173,0.8953871726989746,0.9459066390991211,0.21670286357402802,0.6394356489181519,0.7431336045265198,0.24578765034675598,0.060411565005779266,0.0006041156593710184,0.00031280517578125,0.00749969482421875,0.0127410888671875,0.9794464111328125
pythia-410m,mlp_out,9,0.391304347826087,0.893381655216217,0.9474640488624573,0.2598436176776886,0.6271387934684753,0.7301105260848999,0.23194420337677002,0.05379811301827431,0.0005379811045713723,0.00075531005859375,0.00714111328125,0.0140380859375,0.9780654907226562
pythia-410m,mlp_out,10,0.43478260869565216,0.9018567204475403,0.9529039859771729,0.2828967869281769,0.6468278169631958,0.7420226335525513,0.22285711765289307,0.049665290862321854,0.0004966529086232185,0.0006256103515625,0.0072021484375,0.01285552978515625,0.9793167114257812
pythia-410m,mlp_out,11,0.4782608695652174,0.9175744652748108,0.9605193734169006,0.311196506023407,0.7040726542472839,0.7954729199409485,0.23650842905044556,0.05593623220920563,0.0005593622918240726,0.00081634521484375,0.00701904296875,0.00574493408203125,0.986419677734375
pythia-410m,mlp_out,12,0.5217391304347826,0.9059889316558838,0.9502747058868408,0.3541620075702667,0.6741695404052734,0.7638070583343506,0.21713973581790924,0.047149669378995895,0.00047149669262580574,0.00067138671875,0.00812530517578125,0.00565338134765625,0.9855499267578125
pythia-410m,mlp_out,13,0.5652173913043478,0.8723217844963074,0.9289196729660034,0.23301228880882263,0.5896148681640625,0.6741008758544922,0.23002488911151886,0.05291144549846649,0.0005291144479997456,0.0008392333984375,0.00717926025390625,0.01549530029296875,0.9764862060546875
pythia-410m,mlp_out,14,0.6086956521739131,0.8745696544647217,0.9264519214630127,0.33667126297950745,0.5908517837524414,0.6731451153755188,0.22521816194057465,0.05072321742773056,0.0005072321509942412,0.00048828125,0.00731658935546875,0.0182952880859375,0.9738998413085938
pythia-410m,mlp_out,15,0.6521739130434783,0.8710685968399048,0.92771977186203,0.2522839903831482,0.578271210193634,0.6618814468383789,0.22979716956615448,0.052806735038757324,0.0005280673503875732,0.0005645751953125,0.007415771484375,0.02068328857421875,0.9713363647460938
pythia-410m,mlp_out,16,0.6956521739130435,0.6351937651634216,0.6610731482505798,0.11616766452789307,0.2016753852367401,0.2558184564113617,0.2916410565376282,0.08505450934171677,0.0008505450678057969,0.000518798828125,0.0086669921875,0.353424072265625,0.63739013671875
pythia-410m,mlp_out,17,0.7391304347826086,0.777187705039978,0.8273271918296814,0.18850092589855194,0.4088212251663208,0.4973343312740326,0.2921135723590851,0.08533034473657608,0.0008533034124411643,0.0005645751953125,0.007659912109375,0.09429931640625,0.8974761962890625
pythia-410m,mlp_out,18,0.782608695652174,0.6930854320526123,0.7179456353187561,0.1582895666360855,0.2763306200504303,0.33569765090942383,0.34194982051849365,0.11692968755960464,0.0011692967964336276,0.000335693359375,0.0078277587890625,0.24831390380859375,0.7435226440429688
pythia-410m,mlp_out,19,0.8260869565217391,0.7826224565505981,0.8447067141532898,0.20900681614875793,0.3818945586681366,0.46046629548072815,0.34451255202293396,0.1186889037489891,0.0011868890142068267,0.00072479248046875,0.0072021484375,0.1200408935546875,0.8720321655273438
pythia-410m,mlp_out,20,0.8695652173913043,0.8483048677444458,0.8999199271202087,0.2897275984287262,0.5322273969650269,0.6277770400047302,0.33644673228263855,0.11319641023874283,0.0011319640325382352,0.00055694580078125,0.00733184814453125,0.03205108642578125,0.9600601196289062
pythia-410m,mlp_out,21,0.9130434782608695,0.7171550989151001,0.7412879467010498,0.23651839792728424,0.35872119665145874,0.41562342643737793,0.41140487790107727,0.16925399005413055,0.0016925398958846927,0.0003814697265625,0.0074310302734375,0.190093994140625,0.802093505859375
pythia-410m,mlp_out,22,0.9565217391304348,0.7746902108192444,0.8307556509971619,0.26311761140823364,0.3872371017932892,0.47313377261161804,0.4271264672279358,0.182437002658844,0.0018243700033053756,0.00017547607421875,0.007568359375,0.1111297607421875,0.8811264038085938
pythia-410m,mlp_out,23,1.0,0.5692874193191528,0.5438100099563599,0.12678101658821106,0.181758314371109,0.2210848331451416,0.696738064289093,0.4854438900947571,0.004854438826441765,7.62939453125e-05,0.00720977783203125,0.4520111083984375,0.5407028198242188
