model,target,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
bloom-1b1,resid_post,0,0.0,0.971614420413971,0.9895070195198059,0.6965218782424927,0.8903911113739014,0.932468593120575,0.2985920310020447,0.08915719389915466,0.0008915719226934016,0.0,0.0,0.0027058918494731188,0.9972941279411316
bloom-1b1,resid_post,1,0.043478260869565216,0.9723594784736633,0.9896399974822998,0.7136028409004211,0.892120361328125,0.9332115650177002,0.3414599895477295,0.11659493297338486,0.001165949273854494,0.0,3.0517578125e-05,0.0010528564453125,0.9989166259765625
bloom-1b1,resid_post,2,0.08695652173913043,0.9681918025016785,0.9887167811393738,0.6804497241973877,0.8765962719917297,0.9228546023368835,0.3802121877670288,0.14456132054328918,0.0014456132194027305,0.0,4.069010537932627e-05,0.0032602946739643812,0.9966990351676941
bloom-1b1,resid_post,3,0.13043478260869565,0.9663727879524231,0.9887439608573914,0.6692030429840088,0.871634840965271,0.9155470728874207,0.40327879786491394,0.16263379156589508,0.0016263378784060478,0.0,0.0007069905404932797,0.0038604736328125,0.9954325556755066
bloom-1b1,resid_post,4,0.17391304347826086,0.9614457488059998,0.9864768981933594,0.5870283246040344,0.8565993905067444,0.9053619503974915,0.41251659393310547,0.17016993463039398,0.001701699336990714,0.0,0.000732421875,0.0060373940505087376,0.9932301640510559
bloom-1b1,resid_post,5,0.21739130434782608,0.9579847455024719,0.9855072498321533,0.5404394865036011,0.8331860303878784,0.898664653301239,0.4245428442955017,0.18023662269115448,0.0018023662269115448,0.0,0.00103759765625,0.0071665444411337376,0.9917958378791809
bloom-1b1,resid_post,6,0.2608695652173913,0.9584619998931885,0.9860700964927673,0.50535649061203,0.836341142654419,0.9028263688087463,0.43967965245246887,0.1933182030916214,0.0019331820076331496,0.0,0.0015360513934865594,0.0081634521484375,0.9903004765510559
bloom-1b1,resid_post,7,0.30434782608695654,0.9583585858345032,0.9862122535705566,0.4890109896659851,0.8397071957588196,0.9050783514976501,0.4518337547779083,0.20415374636650085,0.0020415373146533966,0.0,0.0016682943096384406,0.008824666030704975,0.9895070195198059
bloom-1b1,resid_post,8,0.34782608695652173,0.9608320593833923,0.9883066415786743,0.47606757283210754,0.8428966403007507,0.912943422794342,0.45874619483947754,0.21044805645942688,0.00210448051802814,0.0,0.0017801920184865594,0.009089152328670025,0.9891306757926941
bloom-1b1,resid_post,9,0.391304347826087,0.9613234996795654,0.9890328645706177,0.45998144149780273,0.8433221578598022,0.9165447950363159,0.4622534513473511,0.2136782556772232,0.0021367825102061033,0.0,0.0018412271747365594,0.0099334716796875,0.9882252812385559
bloom-1b1,resid_post,10,0.43478260869565216,0.9591339230537415,0.9877915382385254,0.45261210203170776,0.8341461420059204,0.9096913933753967,0.468942791223526,0.21990734338760376,0.0021990733221173286,0.0,0.0019327799091115594,0.010950724594295025,0.9871165156364441
bloom-1b1,resid_post,11,0.4782608695652174,0.9584062099456787,0.9872975945472717,0.4473514258861542,0.8295195698738098,0.9079515337944031,0.4857979416847229,0.23599965870380402,0.002359996549785137,0.0,0.0020395915489643812,0.011164347641170025,0.9867960810661316
bloom-1b1,resid_post,12,0.5217391304347826,0.9577686190605164,0.9868918061256409,0.4466533958911896,0.8260557055473328,0.9074034690856934,0.5162752270698547,0.26654013991355896,0.0026654014363884926,0.0,0.0020853679161518812,0.01080322265625,0.9871113896369934
bloom-1b1,resid_post,13,0.5652173913043478,0.9552555084228516,0.9859203100204468,0.4375094771385193,0.8181907534599304,0.8971722722053528,0.5466825366020203,0.2988617718219757,0.0029886176344007254,0.0,0.0021820068359375,0.010523478500545025,0.9872944951057434
bloom-1b1,resid_post,14,0.6086956521739131,0.9518933296203613,0.9837791323661804,0.42678868770599365,0.8113124966621399,0.885782778263092,0.5830348134040833,0.33992958068847656,0.0033992957323789597,0.0,0.0023040771484375,0.010615031234920025,0.9870808720588684
bloom-1b1,resid_post,15,0.6521739130434783,0.9479886889457703,0.9818792343139648,0.4193590581417084,0.7988264560699463,0.8725401759147644,0.626596987247467,0.39262381196022034,0.003926238045096397,0.0,0.0024312336463481188,0.010645548813045025,0.9869232177734375
bloom-1b1,resid_post,16,0.6956521739130435,0.9414145350456238,0.9780316352844238,0.4113551676273346,0.7690357565879822,0.853512704372406,0.6799681782722473,0.4623567461967468,0.004623567219823599,0.0,0.0025482177734375,0.011622111313045025,0.9858296513557434
bloom-1b1,resid_post,17,0.7391304347826086,0.9349958300590515,0.9735981822013855,0.4106287956237793,0.7505524158477783,0.8331158757209778,0.7431917786598206,0.5523340702056885,0.005523340776562691,0.0,0.0025583903770893812,0.011815388686954975,0.985626220703125
bloom-1b1,resid_post,18,0.782608695652174,0.9330525398254395,0.9718989729881287,0.39035478234291077,0.7506588101387024,0.8292867541313171,0.8299040794372559,0.6887407898902893,0.006887407973408699,0.0,0.0025380451697856188,0.012201945297420025,0.985260009765625
bloom-1b1,resid_post,19,0.8260869565217391,0.9282705187797546,0.9678871631622314,0.395399808883667,0.7380472421646118,0.8195493817329407,0.9525169134140015,0.9072884917259216,0.009072884917259216,0.0,0.0026346843224018812,0.012914021499454975,0.9844512939453125
bloom-1b1,resid_post,20,0.8695652173913043,0.9245948791503906,0.9661521911621094,0.36827385425567627,0.7229329347610474,0.8103480339050293,1.0825022459030151,1.1718109846115112,0.011718109250068665,0.0,0.0027567546349018812,0.013300578109920025,0.9839426875114441
