model,target,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
bloom-1b1,attn_out,0,0.0,0.8796259760856628,0.9263066649436951,0.4830509126186371,0.61259526014328,0.687652587890625,0.07360664755105972,0.005417938809841871,5.417938518803567e-05,0.0,0.0,0.011993408203125,0.988006591796875
bloom-1b1,attn_out,1,0.043478260869565216,0.8931513428688049,0.9420613050460815,0.4428260922431946,0.6219587922096252,0.7156082391738892,0.07157205045223236,0.0051225582137703896,5.122557922732085e-05,0.0,0.0,0.01715596579015255,0.9828440546989441
bloom-1b1,attn_out,2,0.08695652173913043,0.8647668957710266,0.9169192314147949,0.4015105068683624,0.5567211508750916,0.6490212678909302,0.07377064228057861,0.005442108027637005,5.442107794806361e-05,0.0,2.5431314497836865e-05,0.0285797119140625,0.9713948369026184
bloom-1b1,attn_out,3,0.13043478260869565,0.8997547626495361,0.9414417147636414,0.5104609727859497,0.6578239798545837,0.7353816628456116,0.08743894100189209,0.007645568810403347,7.64556898502633e-05,0.0,1.52587890625e-05,0.008870442397892475,0.9911143183708191
bloom-1b1,attn_out,4,0.17391304347826086,0.9066588878631592,0.9498544335365295,0.5047473311424255,0.6662371754646301,0.7520608901977539,0.09531179070472717,0.009084337390959263,9.08433721633628e-05,0.0,2.5431314497836865e-05,0.0096435546875,0.9903309941291809
bloom-1b1,attn_out,5,0.21739130434782608,0.9006255269050598,0.9508009552955627,0.4082587957382202,0.6453377604484558,0.7355786561965942,0.09963273257017136,0.009926682338118553,9.92668210528791e-05,0.0,0.0012868245830759406,0.0178375244140625,0.9808756709098816
bloom-1b1,attn_out,6,0.2608695652173913,0.9205330014228821,0.9638346433639526,0.23639778792858124,0.7246184349060059,0.8059230446815491,0.10126236081123352,0.01025406550616026,0.00010254065273329616,0.0011393228778615594,0.0075429282151162624,0.008371989242732525,0.9829457402229309
bloom-1b1,attn_out,7,0.30434782608695654,0.9103328585624695,0.957513153553009,0.17884773015975952,0.6807985901832581,0.7746337652206421,0.09699539840221405,0.009408107027411461,9.408107143826783e-05,0.0011647542705759406,0.0083465576171875,0.011006672866642475,0.9794819951057434
bloom-1b1,attn_out,8,0.34782608695652173,0.9407575726509094,0.9782302379608154,0.2535088360309601,0.788795530796051,0.8645437359809875,0.09964313358068466,0.009928753599524498,9.928753570420668e-05,0.0018259683856740594,0.0066426596604287624,0.0077972412109375,0.983734130859375
bloom-1b1,attn_out,9,0.391304347826087,0.940146267414093,0.9769428372383118,0.19097661972045898,0.7931894063949585,0.8639212846755981,0.09707870334386826,0.009424274787306786,9.424274321645498e-05,0.0022786457557231188,0.0074818930588662624,0.0075327553786337376,0.9827067255973816
bloom-1b1,attn_out,10,0.43478260869565216,0.9381353259086609,0.9745301604270935,0.4562976658344269,0.7779468297958374,0.8468076586723328,0.09989283233880997,0.009978577494621277,9.978577145375311e-05,0.0020039875525981188,0.0053660073317587376,0.00457763671875,0.9880523681640625
bloom-1b1,attn_out,11,0.4782608695652174,0.9503867626190186,0.9830422401428223,0.33193933963775635,0.8242319226264954,0.8861601948738098,0.09830395877361298,0.009663667529821396,9.6636671514716e-05,0.001953125,0.0058746337890625,0.0060323080979287624,0.9861399531364441
bloom-1b1,attn_out,12,0.5217391304347826,0.9484263062477112,0.980172336101532,0.30240556597709656,0.8261750936508179,0.8848850727081299,0.10229448974132538,0.01046416163444519,0.00010464161459822208,0.0021311442833393812,0.0060170493088662624,0.0061747231520712376,0.9856770634651184
bloom-1b1,attn_out,13,0.5652173913043478,0.927556037902832,0.9686396718025208,0.36081764101982117,0.7407748103141785,0.8175928592681885,0.10178925842046738,0.010361053049564362,0.00010361053136875853,0.0022786457557231188,0.0055287680588662624,0.0077260336838662624,0.984466552734375
bloom-1b1,attn_out,14,0.6086956521739131,0.9405441284179688,0.9758753180503845,0.3601680099964142,0.7893600463867188,0.8615671396255493,0.10135518014431,0.010272872634232044,0.00010272872168570757,0.0021769206505268812,0.0055033364333212376,0.0072733559645712376,0.98504638671875
bloom-1b1,attn_out,15,0.6521739130434783,0.9292120933532715,0.9680081009864807,0.2763543725013733,0.7632951736450195,0.8276275396347046,0.10752271860837936,0.011561133898794651,0.00011561133578652516,0.0020650227088481188,0.0060221352614462376,0.008783976547420025,0.9831288456916809
bloom-1b1,attn_out,16,0.6956521739130435,0.9188377857208252,0.9624308943748474,0.30269724130630493,0.7129458785057068,0.7996466159820557,0.11288362741470337,0.01274271309375763,0.00012742713443003595,0.0021870930213481188,0.0058848061598837376,0.00982666015625,0.9821014404296875
