model,layer,relative_depth,mean_ivr,median_ivr,ivr_p01,ivr_p05,ivr_p10,median_rms,energy_reference,inactive_energy_threshold,inactive,consistent_active,mixed_active,input_varying_active
opt-125m,7,0.6363636363636364,0.9535326957702637,0.986879825592041,0.17209522426128387,0.8277025818824768,0.9029167890548706,0.13791443407535553,0.01902039349079132,0.00019020393665414304,0.0,0.009114583022892475,0.0065816245041787624,0.9843037724494934
opt-125m,8,0.7272727272727273,0.9470293521881104,0.9828153848648071,0.16698519885540009,0.8076056838035583,0.8813908100128174,0.16717855632305145,0.027948668226599693,0.0002794866741169244,0.0,0.009185791015625,0.0061747231520712376,0.9846394658088684
opt-125m,9,0.8181818181818182,0.9406280517578125,0.9777531027793884,0.15601904690265656,0.7740885019302368,0.8659496903419495,0.20951472222805023,0.04389641806483269,0.0004389641690067947,0.0,0.009175618179142475,0.006103515625,0.9847208857536316
opt-125m,10,0.9090909090909091,0.9362897276878357,0.9774093627929688,0.16705794632434845,0.7560756206512451,0.8518301844596863,0.26636210083961487,0.0709487721323967,0.0007094877073541284,0.0,0.00872802734375,0.00640869140625,0.98486328125
opt-125m,11,1.0,0.9321511387825012,0.9713496565818787,0.5066637396812439,0.7433508634567261,0.8221369385719299,0.32123231887817383,0.10319021344184875,0.001031902153044939,0.0,0.0015360513934865594,0.008270263671875,0.9901936650276184
pythia-160m,0,0.0,0.9632908701896667,0.9858804941177368,0.5685774087905884,0.8701884746551514,0.91176438331604,0.2756907343864441,0.07600538432598114,0.0007600538083352149,0.0,0.0,0.006500244140625,0.993499755859375
pythia-160m,1,0.09090909090909091,0.9509520530700684,0.9793903827667236,0.5386094450950623,0.8227201104164124,0.8802480697631836,0.3180217742919922,0.10113784670829773,0.001011378481052816,0.0,1.0172526344831567e-05,0.008514404296875,0.9914754033088684
pythia-160m,2,0.18181818181818182,0.915907621383667,0.9570698738098145,0.4142542779445648,0.685236394405365,0.7814255952835083,0.39311903715133667,0.15454256534576416,0.0015454256208613515,0.0,0.00034586587571538985,0.012379963882267475,0.987274169921875
pythia-160m,3,0.2727272727272727,0.9219224452972412,0.9693199396133423,0.4009634852409363,0.66796875,0.7882277369499207,0.4380059540271759,0.1918492168188095,0.0019184921402484179,0.0,0.0035502116661518812,0.015960693359375,0.9804890751838684
pythia-160m,4,0.36363636363636365,0.8969957828521729,0.9567363262176514,0.32054686546325684,0.6054173111915588,0.7078399062156677,0.43023359775543213,0.18510094285011292,0.001851009437814355,0.0,0.0033162434119731188,0.023956298828125,0.9727274775505066
pythia-160m,5,0.45454545454545453,0.9111030101776123,0.9593464136123657,0.3620494604110718,0.6445289254188538,0.775785505771637,0.44949403405189514,0.20204487442970276,0.0020204486791044474,0.0,0.0031229655724018812,0.02219645120203495,0.9746806025505066
pythia-160m,6,0.5454545454545454,0.8851099610328674,0.9425673484802246,0.3209691047668457,0.5839988589286804,0.7027395963668823,0.46290263533592224,0.21427883207798004,0.002142788376659155,0.0,0.0032246906775981188,0.02956136129796505,0.9672139286994934
pythia-160m,7,0.6363636363636364,0.8914194703102112,0.9486420154571533,0.2777656316757202,0.6098405718803406,0.718725860118866,0.5254946351051331,0.2761446237564087,0.0027614461723715067,0.0,0.003570556640625,0.02595011331140995,0.9704793095588684
pythia-160m,8,0.7272727272727273,0.8230846524238586,0.8869442939758301,0.24762772023677826,0.45481735467910767,0.5537769794464111,0.6097915172576904,0.37184572219848633,0.0037184571847319603,0.0,0.0031840007286518812,0.069122314453125,0.9276936650276184
pythia-160m,9,0.8181818181818182,0.828320324420929,0.9047766923904419,0.2054934799671173,0.3542652726173401,0.5324235558509827,0.6729894280433655,0.4529148042201996,0.004529147874563932,0.0,0.0032958984375,0.087158203125,0.9095458984375
pythia-160m,10,0.9090909090909091,0.8450661301612854,0.9073460698127747,0.21104812622070312,0.4579037129878998,0.5940061211585999,0.7546398043632507,0.5694812536239624,0.0056948126293718815,0.0,0.0030314128380268812,0.0567220039665699,0.94024658203125
pythia-160m,11,1.0,0.09894516319036484,0.0810503140091896,0.06172278895974159,0.06717942655086517,0.06969526410102844,4.417793273925781,19.516897201538086,0.19516897201538086,0.0,0.8006184697151184,0.18951416015625,0.009867350570857525
