snapshot,n,layer_corr,all_ivr_corr,top_varying_overlap,top_consistent_overlap,mean_abs_layer_diff
gpt2-small_resid_post_n100_stats.pt,100,0.9997958091100052,0.9665073890087893,0.45,0.99,0.008931268937885761
gpt2-small_resid_post_n500_stats.pt,500,0.9997576390853896,0.9938918746811565,0.78,1.0,0.0013941774377599359
gpt2-small_resid_post_n1000_stats.pt,1000,0.999909761617493,0.9971840480122234,0.87,1.0,0.000604222237598151
gpt2-small_resid_post_n5000_stats.pt,5000,0.9999987821104446,0.9996759110992343,0.94,1.0,0.00011896093928953633
gpt2-small_resid_post_n10000_stats.pt,10000,0.9999999999999999,0.9999999999999796,1.0,1.0,0.0
