snapshot,n,layer_corr,all_ivr_corr,top_varying_overlap,top_consistent_overlap,mean_abs_layer_diff
pythia-160m_resid_post_n100_stats.pt,100,0.9999841464677436,0.9824068912756077,0.58,0.88,0.009496866725385189
pythia-160m_resid_post_n500_stats.pt,500,0.999996567664343,0.9949233444339353,0.81,0.9,0.0023442271631211042
pythia-160m_resid_post_n1000_stats.pt,1000,0.9999968048369783,0.9974702649913015,0.87,0.93,0.0017006093403324485
pythia-160m_resid_post_n5000_stats.pt,5000,0.9999999680045023,0.9998113931957643,0.96,0.98,0.00014098484825808555
pythia-160m_resid_post_n10000_stats.pt,10000,1.0,1.0,1.0,1.0,0.0
